provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region,target,keep_prob
P00053,Provider_53,City_53,PA,41.3033,-77.0945,Endocrinology,General Practice,Specialty Care,21,400,27,4.32,0.78,True,False,Out-of-network,395,True,Hospital_53,1.92,West,1,0.99953103
P00054,Provider_54,City_54,NV,38.9526,-116.2694,ENT,Orthopedics,Specialty Care,27,220,5,3.02,0.53,True,False,In-network,53,False,Hospital_54,4.04,West,1,0.99989164
P00055,Provider_55,City_55,NV,39.0026,-116.2194,Pediatrics,Ophthalmology,Primary Care,6,150,57,1.47,0.72,False,False,Out-of-network,433,False,Hospital_55,4.9,North,1,0.9998802
P00056,Provider_56,City_56,NC,36.0096,-78.7693,Neurology,Gastroenterology,Specialty Care,17,450,23,3.77,0.31,False,True,Out-of-network,414,True,Hospital_56,3.99,East,1,0.9988501
P00057,Provider_57,City_57,PA,41.5033,-76.8945,General Practice,Pediatrics,Primary Care,3,100,28,2.72,0.72,False,True,Out-of-network,433,True,Hospital_57,3.26,East,1,0.9998802
P00058,Provider_58,City_58,NC,36.1096,-78.6693,Dermatology,Endocrinology,Specialty Care,13,200,32,1.39,0.48,False,True,In-network,76,False,Hospital_58,2.62,East,1,0.9997018
P00059,Provider_59,City_59,IL,41.0331,-88.9985,Dermatology,Cardiology,Specialty Care,35,200,52,4.79,0.12,True,False,In-network,93,False,Hospital_59,1.74,North,1,0.999458
P00060,Provider_60,City_60,MI,44.7648,-85.1524,Neurology,Pediatrics,Specialty Care,25,450,29,1.19,0.63,True,False,Out-of-network,476,True,Hospital_60,1.28,West,0,0.0026315362
P00061,Provider_61,City_61,WA,47.7511,-120.7401,Gastroenterology,ENT,Specialty Care,27,420,52,1.15,0.38,False,False,Out-of-network,134,False,Hospital_61,3.14,East,1,0.9998615
P00062,Provider_62,City_62,TX,32.0186,-99.8518,Urology,General Practice,Specialty Care,1,380,13,1.33,0.59,False,True,Out-of-network,469,False,Hospital_62,2.1,South,1,0.99952865
P00063,Provider_63,City_63,NY,43.3994,-74.1179,Neurology,Psychiatry,Specialty Care,31,450,32,2.12,0.12,True,False,Out-of-network,311,True,Hospital_63,4.85,East,1,0.99884427
P00064,Provider_64,City_64,OH,40.5673,-82.7571,Psychiatry,Dermatology,Specialty Care,28,250,38,2.29,0.5,True,False,In-network,238,True,Hospital_64,4.31,North,1,0.99988866
P00065,Provider_65,City_65,NV,39.0026,-116.2194,Orthopedics,Cardiology,Surgical,6,400,44,4.49,0.75,False,False,Out-of-network,412,True,Hospital_65,1.53,West,1,0.99953103
P00066,Provider_66,City_66,AZ,34.2989,-110.8437,Gastroenterology,Pediatrics,Specialty Care,31,420,29,4.87,0.5,False,False,Out-of-network,441,True,Hospital_66,3.32,East,1,0.9998808
P00067,Provider_67,City_67,NC,36.0596,-78.7193,Gastroenterology,General Practice,Specialty Care,25,420,19,4.87,0.83,True,True,In-network,358,True,Hospital_67,2.33,North,1,0.99953103
P00068,Provider_68,City_68,CO,39.9001,-105.4321,Orthopedics,Psychiatry,Surgical,1,400,14,3.69,0.57,False,False,Out-of-network,226,False,Hospital_68,4.3,West,1,0.99988925
P00069,Provider_69,City_69,NC,36.1596,-78.6193,ENT,Urology,Specialty Care,16,220,49,4.52,0.97,False,True,In-network,52,False,Hospital_69,1.29,South,1,0.9995641
P00070,Provider_70,City_70,WA,48.2011,-120.2901,Dermatology,General Practice,Specialty Care,34,200,23,1.83,0.83,False,True,In-network,130,False,Hospital_70,2.93,North,1,0.99979717
P00071,Provider_71,City_71,NV,38.8026,-116.4194,ENT,General Practice,Specialty Care,10,220,17,3.17,0.98,False,True,Out-of-network,306,False,Hospital_71,4.73,East,1,0.9998808
P00072,Provider_72,City_72,FL,28.0444,-81.7103,Psychiatry,Dermatology,Specialty Care,4,250,22,1.22,0.6,False,False,In-network,248,True,Hospital_72,2.17,West,1,0.99956197
P00073,Provider_73,City_73,MI,44.4148,-85.5024,Cardiology,General Practice,Specialty Care,10,500,13,2.7,0.24,True,False,In-network,368,True,Hospital_73,1.2,North,0,0.0021167668
P00074,Provider_74,City_74,CA,36.9283,-119.2679,Dermatology,Pediatrics,Specialty Care,15,200,35,1.11,0.29,True,True,Out-of-network,418,False,Hospital_74,3.19,East,1,0.999851
P00075,Provider_75,City_75,AZ,34.2489,-110.8937,Ophthalmology,Neurology,Specialty Care,5,180,20,1.54,0.11,True,True,Out-of-network,472,True,Hospital_75,1.04,South,1,0.9994137
P00076,Provider_76,City_76,NY,43.5494,-73.9679,Psychiatry,Orthopedics,Specialty Care,40,250,54,1.85,0.27,True,True,In-network,106,True,Hospital_76,1.64,South,1,0.99945515
P00077,Provider_77,City_77,GA,32.4656,-82.6001,Pediatrics,Gastroenterology,Primary Care,23,150,8,4.43,0.07,True,False,In-network,152,True,Hospital_77,2.78,West,1,0.9997155
P00078,Provider_78,City_78,AZ,34.3989,-110.7437,Endocrinology,Pediatrics,Specialty Care,29,400,17,4.56,0.05,False,False,Out-of-network,418,True,Hospital_78,2.79,South,1,0.9996939
P00079,Provider_79,City_79,NV,39.2026,-116.0194,Pediatrics,Ophthalmology,Primary Care,24,150,24,4.97,0.13,False,True,Out-of-network,185,True,Hospital_79,1.14,North,1,0.999458
P00080,Provider_80,City_80,WA,48.2011,-120.2901,Pediatrics,Neurology,Primary Care,5,150,47,1.58,0.39,False,True,In-network,320,False,Hospital_80,2.49,North,1,0.9994137
P00081,Provider_81,City_81,CA,36.7783,-119.4179,Cardiology,Endocrinology,Specialty Care,19,500,52,1.03,0.91,False,False,Out-of-network,139,True,Hospital_81,1.14,South,0,0.0028312707
P00082,Provider_82,City_82,CA,36.8283,-119.3679,Ophthalmology,Neurology,Specialty Care,40,180,15,2.5,0.09,False,False,Out-of-network,481,False,Hospital_82,4.48,West,1,0.999851
P00083,Provider_83,City_83,CO,39.6501,-105.6821,Dermatology,General Practice,Specialty Care,3,200,60,4.75,0.4,True,True,Out-of-network,463,True,Hospital_83,2.73,East,1,0.99963033
P00084,Provider_84,City_84,CO,39.7001,-105.6321,Psychiatry,Urology,Specialty Care,2,250,53,2.14,0.73,True,False,In-network,231,False,Hospital_84,2.95,West,1,0.9998276
P00085,Provider_85,City_85,CO,39.7501,-105.5821,Neurology,ENT,Specialty Care,19,450,55,3.46,0.2,False,False,In-network,69,False,Hospital_85,2.96,North,0,0.015657445
P00086,Provider_86,City_86,OH,40.6673,-82.6571,Dermatology,Ophthalmology,Specialty Care,7,200,52,1.23,0.55,True,False,In-network,225,False,Hospital_86,2.42,North,1,0.99956197
P00087,Provider_87,City_87,MI,44.6148,-85.3024,Neurology,Neurology,Specialty Care,28,450,23,1.32,0.07,False,False,In-network,184,True,Hospital_87,2.21,West,0,0.002277519
P00088,Provider_88,City_88,CA,37.1283,-119.0679,General Practice,ENT,Primary Care,29,100,28,1.41,0.34,False,True,In-network,477,True,Hospital_88,1.83,South,1,0.9994137
P00089,Provider_89,City_89,AZ,34.4489,-110.6937,Cardiology,General Practice,Specialty Care,7,500,44,2.26,0.57,True,False,Out-of-network,357,True,Hospital_89,4.56,South,1,0.9990707
P00090,Provider_90,City_90,MA,42.8572,-70.9324,Orthopedics,Neurology,Surgical,7,400,31,2.48,0.42,True,True,Out-of-network,103,False,Hospital_90,2.79,West,1,0.9997141
P00091,Provider_91,City_91,MI,44.3148,-85.6024,Gastroenterology,Gastroenterology,Specialty Care,12,420,45,2.93,0.62,True,True,Out-of-network,342,False,Hospital_91,4.07,South,1,0.9998802
P00092,Provider_92,City_92,TX,32.0186,-99.8518,Urology,ENT,Specialty Care,5,380,28,2.37,0.12,False,True,Out-of-network,132,True,Hospital_92,4.94,West,1,0.9998615
P00093,Provider_93,City_93,CO,39.6501,-105.6821,Cardiology,Endocrinology,Specialty Care,27,500,16,3.44,0.7,False,False,Out-of-network,360,True,Hospital_93,3.38,East,1,0.9990753
P00094,Provider_94,City_94,NC,35.9096,-78.8693,Dermatology,Dermatology,Specialty Care,13,200,26,4.38,0.38,True,True,Out-of-network,407,False,Hospital_94,1.82,East,1,0.9994167
P00095,Provider_95,City_95,AZ,34.2489,-110.8937,ENT,Orthopedics,Specialty Care,37,220,59,3.8,0.83,False,False,In-network,76,True,Hospital_95,3.65,North,1,0.99988925
P00096,Provider_96,City_96,CO,39.8001,-105.5321,Neurology,Gastroenterology,Specialty Care,38,450,36,1.29,0.37,False,True,Out-of-network,378,False,Hospital_96,2.54,West,0,0.0021167668
P00097,Provider_97,City_97,WA,48.0511,-120.4401,Urology,Ophthalmology,Specialty Care,40,380,28,3.72,0.92,True,True,In-network,278,False,Hospital_97,4.89,South,1,0.9998895
P00098,Provider_98,City_98,NC,36.1096,-78.6693,Urology,Ophthalmology,Specialty Care,26,380,8,4.84,0.0,True,False,Out-of-network,194,True,Hospital_98,3.62,North,1,0.9998622
P00099,Provider_99,City_99,CO,39.9501,-105.3821,Endocrinology,Dermatology,Specialty Care,31,400,41,4.04,0.95,False,False,In-network,428,True,Hospital_99,2.58,West,1,0.99968076
P00100,Provider_100,City_100,CA,37.2283,-118.9679,Orthopedics,Neurology,Surgical,2,400,58,1.24,0.63,False,True,Out-of-network,233,False,Hospital_100,1.58,North,1,0.99956197
P00101,Provider_101,City_101,NV,38.8026,-116.4194,Dermatology,Endocrinology,Specialty Care,3,200,9,2.25,0.82,True,True,In-network,351,True,Hospital_1,3.85,South,1,0.9998802
P00102,Provider_102,City_102,IL,40.6831,-89.3485,Endocrinology,Gastroenterology,Specialty Care,30,400,16,3.56,0.59,True,False,In-network,201,False,Hospital_2,1.7,North,1,0.9995641
P00103,Provider_103,City_103,OH,40.5173,-82.8071,Gastroenterology,Gastroenterology,Specialty Care,22,420,11,1.27,0.68,False,False,Out-of-network,496,True,Hospital_3,2.67,North,1,0.9996792
P00104,Provider_104,City_104,TX,32.1186,-99.7518,Psychiatry,ENT,Specialty Care,4,250,15,4.8,0.23,False,False,In-network,166,True,Hospital_4,2.23,South,1,0.999458
P00105,Provider_105,City_105,MI,44.5148,-85.4024,Psychiatry,Dermatology,Specialty Care,24,250,24,3.47,0.72,True,True,In-network,387,True,Hospital_5,2.23,South,1,0.99953103
P00106,Provider_106,City_106,AZ,34.2989,-110.8437,Pediatrics,Pediatrics,Primary Care,20,150,24,3.7,0.89,True,True,In-network,491,False,Hospital_6,4.9,East,1,0.9998808
P00107,Provider_107,City_107,CA,37.0783,-119.1179,Dermatology,Gastroenterology,Specialty Care,32,200,37,2.52,0.61,False,True,In-network,189,False,Hospital_7,2.85,South,1,0.9997701
P00108,Provider_108,City_108,CA,37.1283,-119.0679,Urology,Orthopedics,Specialty Care,9,380,56,4.03,0.81,True,False,In-network,129,True,Hospital_8,1.64,South,1,0.9995641
P00109,Provider_109,City_109,NC,36.1596,-78.6193,ENT,Ophthalmology,Specialty Care,26,220,41,1.55,0.55,True,True,Out-of-network,128,True,Hospital_9,3.22,South,1,0.99988866
P00110,Provider_110,City_110,MI,44.7648,-85.1524,Cardiology,Dermatology,Specialty Care,39,500,11,2.98,0.09,True,False,Out-of-network,130,True,Hospital_10,3.49,North,1,0.99892586
P00111,Provider_111,City_111,IL,40.6331,-89.3985,Pediatrics,Orthopedics,Primary Care,18,150,12,2.42,0.2,False,False,Out-of-network,154,False,Hospital_11,3.62,South,1,0.9998615
P00112,Provider_112,City_112,NC,35.8096,-78.9693,Orthopedics,ENT,Surgical,15,400,31,1.5,0.4,False,True,Out-of-network,159,False,Hospital_12,2.01,East,1,0.99945515
P00113,Provider_113,City_113,NC,35.8596,-78.9193,Psychiatry,Cardiology,Specialty Care,21,250,19,3.33,0.73,True,False,In-network,95,True,Hospital_13,1.81,East,1,0.9995641
P00114,Provider_114,City_114,WA,47.9011,-120.5901,Gastroenterology,Orthopedics,Specialty Care,15,420,18,2.14,0.66,True,True,Out-of-network,103,False,Hospital_14,4.82,South,1,0.99988866
P00115,Provider_115,City_115,MI,44.5148,-85.4024,Psychiatry,General Practice,Specialty Care,18,250,7,2.73,0.71,True,True,In-network,176,True,Hospital_15,2.9,East,1,0.99979717
P00116,Provider_116,City_116,IL,40.8831,-89.1485,Gastroenterology,Psychiatry,Specialty Care,5,420,26,3.85,0.91,False,True,Out-of-network,82,False,Hospital_16,2.57,North,1,0.99970335
P00117,Provider_117,City_117,CO,39.8501,-105.4821,Dermatology,ENT,Specialty Care,38,200,21,4.71,1.0,False,False,In-network,168,True,Hospital_17,1.46,North,1,0.9995641
P00118,Provider_118,City_118,NV,39.1526,-116.0694,Orthopedics,Neurology,Surgical,31,400,21,3.5,0.29,False,True,Out-of-network,77,False,Hospital_18,4.71,South,1,0.9998622
P00119,Provider_119,City_119,OH,40.8173,-82.5071,ENT,Urology,Specialty Care,25,220,60,3.1,0.78,False,True,In-network,345,True,Hospital_19,1.39,West,1,0.99953103
P00120,Provider_120,City_120,GA,32.6156,-82.4501,Psychiatry,Urology,Specialty Care,13,250,50,3.95,0.47,False,False,Out-of-network,272,False,Hospital_20,3.78,North,1,0.99986255
P00121,Provider_121,City_121,OH,40.4173,-82.9071,Psychiatry,Neurology,Specialty Care,27,250,34,1.74,0.03,False,False,Out-of-network,120,False,Hospital_21,4.14,South,1,0.9998615
P00122,Provider_122,City_122,MI,44.3648,-85.5524,Ophthalmology,Pediatrics,Specialty Care,13,180,28,1.03,0.8,False,False,In-network,223,True,Hospital_22,2.68,South,1,0.9997018
P00123,Provider_123,City_123,IL,40.7331,-89.2985,Dermatology,Cardiology,Specialty Care,32,200,52,4.0,0.17,True,True,Out-of-network,158,True,Hospital_23,2.39,East,1,0.999458
P00124,Provider_124,City_124,NC,35.9096,-78.8693,Pediatrics,Gastroenterology,Primary Care,36,150,24,2.87,0.62,False,True,In-network,279,False,Hospital_24,1.88,South,1,0.9995629
P00125,Provider_125,City_125,MA,42.6072,-71.1824,Psychiatry,ENT,Specialty Care,32,250,9,1.62,0.28,True,True,In-network,74,True,Hospital_25,3.23,East,1,0.9998615
P00126,Provider_126,City_126,AZ,34.2989,-110.8437,Cardiology,General Practice,Specialty Care,25,500,9,1.9,0.4,False,False,In-network,355,True,Hospital_26,4.86,East,1,0.99884427
P00127,Provider_127,City_127,NV,39.1026,-116.1194,Cardiology,ENT,Specialty Care,8,500,54,1.04,0.78,False,True,In-network,490,True,Hospital_27,4.29,South,1,0.9990707
P00128,Provider_128,City_128,WA,48.1011,-120.3901,General Practice,Orthopedics,Primary Care,17,100,23,4.35,0.72,True,False,Out-of-network,279,True,Hospital_28,2.5,West,1,0.9995652
P00129,Provider_129,City_129,IL,41.0331,-88.9985,Neurology,ENT,Specialty Care,39,450,36,3.14,0.39,False,True,Out-of-network,187,True,Hospital_29,1.69,East,0,0.002289136
P00130,Provider_130,City_130,NY,43.7494,-73.7679,Ophthalmology,General Practice,Specialty Care,19,180,34,1.47,0.23,True,False,In-network,247,False,Hospital_30,2.64,West,1,0.99962914
P00131,Provider_131,City_131,AZ,34.0489,-111.0937,Neurology,Dermatology,Specialty Care,6,450,32,2.8,0.13,False,False,Out-of-network,255,False,Hospital_31,4.12,South,1,0.99892586
P00132,Provider_132,City_132,MA,42.4572,-71.3324,ENT,Ophthalmology,Specialty Care,23,220,53,3.25,0.59,True,False,In-network,385,False,Hospital_32,1.69,North,1,0.99953103
P00133,Provider_133,City_133,NC,35.8596,-78.9193,Endocrinology,Cardiology,Specialty Care,31,400,38,1.42,0.1,False,False,Out-of-network,207,True,Hospital_33,4.12,East,1,0.9998615
P00134,Provider_134,City_134,NY,43.4494,-74.0679,Neurology,Dermatology,Specialty Care,22,450,51,2.47,0.61,False,False,In-network,455,False,Hospital_34,3.9,South,1,0.9990707
P00135,Provider_135,City_135,MA,42.6072,-71.1824,Dermatology,Neurology,Specialty Care,29,200,23,4.88,0.69,True,False,In-network,399,True,Hospital_35,1.1,North,1,0.99953103
P00136,Provider_136,City_136,NC,36.0096,-78.7693,Neurology,Ophthalmology,Specialty Care,1,450,51,2.73,0.69,False,False,Out-of-network,450,True,Hospital_36,2.04,North,0,0.0026315362
P00137,Provider_137,City_137,CA,37.0783,-119.1179,Ophthalmology,Ophthalmology,Specialty Care,6,180,15,1.51,0.6,False,True,In-network,185,False,Hospital_37,2.48,East,1,0.99956197
P00138,Provider_138,City_138,NV,39.1526,-116.0694,Psychiatry,Neurology,Specialty Care,35,250,22,3.8,0.23,True,True,Out-of-network,249,True,Hospital_38,3.47,South,1,0.9998622
P00139,Provider_139,City_139,CA,37.1783,-119.0179,Urology,Endocrinology,Specialty Care,5,380,56,2.61,0.84,True,False,Out-of-network,70,True,Hospital_39,3.04,West,1,0.99988866
P00140,Provider_140,City_140,OH,40.8673,-82.4571,Ophthalmology,General Practice,Specialty Care,4,180,13,1.47,0.69,True,False,Out-of-network,168,True,Hospital_40,4.8,West,1,0.99988866
P00141,Provider_141,City_141,NC,35.7596,-79.0193,ENT,Endocrinology,Specialty Care,14,220,39,4.88,0.72,False,False,In-network,334,True,Hospital_41,2.51,South,1,0.99953103
P00142,Provider_142,City_142,CO,39.6001,-105.7321,Gastroenterology,Orthopedics,Specialty Care,5,420,28,2.92,0.95,True,False,Out-of-network,381,False,Hospital_42,1.03,West,1,0.99952865
P00143,Provider_143,City_143,FL,28.0944,-81.6603,Pediatrics,Psychiatry,Primary Care,4,150,7,1.71,0.57,False,True,In-network,294,False,Hospital_43,2.42,West,1,0.99952865
